name,image,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322236.png",Super Kings,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316559.png",Super Kings,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322500/322555.png",Super Kings,Right hand Bat,Right arm Medium,Batter
MoeenAli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316557.png",Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322697.png",KKR,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337187.png",KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323054.png",KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320100/320119.png",KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316564.png",KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319934.png",KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316581.png",KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356821.1.png",KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321239.png",KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341042.png",KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331167.png",KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322704.png",Super Kings,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316622.png",Super Kings,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322696.png",Super Kings,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320000/320092.png",Super Kings,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316600.png",Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322622.png",Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316524.png",Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321596.png",Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
ShreyasIyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323035.png",Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323036.png",Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
ShimronHetmyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320100/320116.png",Capitals,Left hand Bat,Not Available,Top order Batter
AxarPatel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331164.png",Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AnrichNortje,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322080.png",Capitals,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316521.png",Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322244.png",Capitals,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320300/320376.png",Capitals,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322229.png",RCB,Left hand Bat,Right arm Offbreak,Top order Batter
ViratKohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316605.png",RCB,Right hand Bat,Right arm Medium,Top order Batter
SrikarBharat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/354100/354136.png",RCB,Right hand Bat,Not Available,Wicketkeeper Batter
GlennMaxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316657.png",RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
Ab deVilliers,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316555.png",RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
ShahbazAhmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340313.png",RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
DanChristian,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321572.png",RCB,Right hand Bat,Right arm Fast medium,Allrounder
HarshalPatel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322276.png",RCB,Right hand Bat,Right arm Medium,Bowler
GeorgeGarton,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324300/324377.png",RCB,Left hand Bat,Left arm Fast,Bowling Allrounder
MohammedSiraj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322611.png",RCB,Right hand Bat,Right arm Fast,Bowler
YuzvendraChahal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319955.png",RCB,Right hand Bat,Legbreak Googly,Bowler
TomCurran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323112.png",Capitals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
AmbatiRayudu,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316400/316499.png",Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter
MSDhoni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319946.png",Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter
RipalPatel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339158.png",Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
RohitSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316584.png",Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter
IshanKishan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331165.png",Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
HardikPandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319938.png",Mumbai,Right hand Bat,Right arm Medium fast,Allrounder
KieronPollard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320100/320107.png",Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder
SuryakumarYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331163.png",Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
JamesNeesham,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319781.png",Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder
KrunalPandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322614.png",Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
NathanCoulter-Nile,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316607.png",Mumbai,Right hand Bat,Right arm Fast,Bowling Allrounder
PiyushChawla,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322272.png",Mumbai,Left hand Bat,Legbreak,Bowling Allrounder
JaspritBumrah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319940.png",Mumbai,Right hand Bat,Right arm Fast,Bowler
TrentBoult,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316619.png",Mumbai,Right hand Bat,Left arm Fast medium,Bowler
JasonRoy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319791.png",Sunrisers,Right hand Bat,Not Available,Opening Batter
AbhishekSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358037.png",Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder
ManishPandey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323052.png",Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
MohammadNabi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316558.png",Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder
AbdulSamad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339145.png",Sunrisers,Right hand Bat,Legbreak,Batter
PriyamGarg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339155.png",Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
JasonHolder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316673.png",Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder
RashidKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320506.png",Sunrisers,Right hand Bat,Legbreak Googly,Bowling Allrounder
WriddhimanSaha,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323033.png",Sunrisers,Right hand Bat,Not Available,Wicketkeeper Batter
SiddarthKaul,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324200/324220.png",Sunrisers,Right hand Bat,Right arm Medium,Bowler
UmranMalik,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/343200/343263.png",Sunrisers,Right hand Bat,Right arm Fast,Bowler
YashasviJaiswal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340309.png",Royals,Left hand Bat,Legbreak,Opening Batter
LiamLivingstone,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323103.png",Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
SanjuSamson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322701.png",Royals,Right hand Bat,Not Available,Wicketkeeper Batter
ShivamDube,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322703.png",Royals,Left hand Bat,Right arm Medium,Allrounder
AnujRawat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359757.png",Royals,Left hand Bat,Not Available,Wicketkeeper Batter
GlennPhillips,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321223.png",Royals,Right hand Bat,Right arm Offbreak,Allrounder
RahulTewatia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322269.png",Royals,Left hand Bat,Legbreak,Bowling Allrounder
ChrisMorris,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320300/320342.png",Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JaydevUnadkat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322698.png",Royals,Right hand Bat,Left arm Medium,Bowler
ChetanSakariya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339148.png",Royals,Left hand Bat,Left arm Medium fast,Bowler
MustafizurRahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319734.png",Royals,Left hand Bat,Left arm Fast medium,Bowler
KLRahul,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319942.png",Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
MayankAgarwal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322626.png",Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
SarfarazKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339159.png",Punjab Kings,Right hand Bat,Legbreak,Middle order Batter
MShahrukhKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359756.png",Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
AidenMarkram,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322067.png",Punjab Kings,Right hand Bat,Right arm Offbreak,Opening Batter
MoisesHenriques,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321588.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Allrounder
MohammedShami,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316691.png",Punjab Kings,Right hand Bat,Right arm Fast,Bowler
HarpreetBrar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358045.png",Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler
ArshdeepSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322178.png",Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
ChrisJordan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316623.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
RaviBishnoi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337188.png",Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
KaneWilliamson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316618.png",Sunrisers,Right hand Bat,Right arm Offbreak,Top order Batter
BhuvneshwarKumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316658.png",Sunrisers,Right hand Bat,Right arm Medium,Bowler
EvinLewis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320000/320093.png",Royals,Left hand Bat,Not Available,Opening Batter
DavidMiller,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316655.png",Royals,Left hand Bat,Right arm Offbreak,Middle order Batter
ShreyasGopal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322275.png",Royals,Right hand Bat,Legbreak,Allrounder
