name,image,team,battingStyle,bowlingStyle,playingRole
KuldipYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319943.png",Royals,Left hand Bat,Left arm Fast medium,Bowler
JayantYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322500/322553.png",Mumbai,Right hand Bat,Right arm Offbreak,Bowler
TimSouthee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316596.png",KKR,Right hand Bat,Right arm Medium fast,Bowler
NicholasPooran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320100/320109.png",Punjab Kings,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
SureshRaina,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316523.png",Super Kings,Left hand Bat,Right arm Offbreak,Middle order Batter
AkashSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315007.jpg",Royals,Right hand Bat,Left arm Medium fast,Bowler
MayankMarkande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/355400/355403.png",Royals,Right hand Bat,Legbreak,Bowler
SamCurran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323113.png",Super Kings,Left hand Bat,Left arm Medium fast,Allrounder
KMAsif,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339151.png",Super Kings,Right hand Bat,Right arm Medium,Bowler
QuintondeKock,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316668.png",Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
SaurabhTiwary,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322271.png",Mumbai,Left hand Bat,Not Available,Top order Batter
StevenSmith,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316609.png",Capitals,Right hand Bat,Legbreak Googly,Top order Batter
TimSeifert,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321300/321313.png",KKR,Right hand Bat,Not Available,Wicketkeeper Batter
DeepakHooda,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345083.png",Punjab Kings,Right hand Bat,Right arm Offbreak,Allrounder
FabianAllen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321900/321999.png",Punjab Kings,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
NathanEllis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/329700/329711.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
SandeepSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323055.png",Sunrisers,Right hand Bat,Right arm Medium,Bowler
MahipalLomror,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315015.jpg",Royals,Left hand Bat,Slow Left arm Orthodox,Allrounder
RiyanParag,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/370900/370935.png",Royals,Right hand Bat,Legbreak,Top order Batter
KartikTyagi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339150.png",Royals,Right hand Bat,Right arm Fast,Bowler
MandeepSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322610.png",Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
ChrisGayle,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316400/316494.png",Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder
RahulChahar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331166.png",Mumbai,Right hand Bat,Legbreak Googly,Bowler
LalitYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339152.png",Capitals,Right hand Bat,Right arm Offbreak,Allrounder
SandeepWarrier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359763.png",KKR,Right hand Bat,Right arm Medium,Bowler
KyleJamieson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321236.png",RCB,Right hand Bat,Right arm Fast medium,Bowler
AdamMilne,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316689.png",Mumbai,Right hand Bat,Right arm Fast,Bowler
AndreRussell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316615.png",KKR,Right hand Bat,Right arm Fast,Allrounder
PrasidhKrishna,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322617.png",KKR,Right hand Bat,Right arm Fast medium,Bowler
DavidWarner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316589.png",Sunrisers,Left hand Bat,Legbreak,Opening Batter
KedarJadhav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323031.png",Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder
KhaleelAhmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322268.png",Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
TabraizShamsi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322068.png",Royals,Right hand Bat,Left arm Wrist spin,Bowler
TimDavid,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340305.png",RCB,Right hand Bat,Right arm Offbreak,Middle order Batter
WaninduHasaranga,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322946.png",RCB,Right hand Bat,Legbreak,Allrounder
NavdeepSaini,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322702.png",RCB,Right hand Bat,Right arm Fast,Bowler
IshanPorel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340307.png",Punjab Kings,Right hand Bat,Right arm Medium,Bowler
AdilRashid,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319741.png",Punjab Kings,Right hand Bat,Legbreak,Bowler
SachinBaby,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/281000/281081.1.jpg",RCB,Left hand Bat,Right arm Offbreak,Batter
AnmolpreetSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358038.png",Mumbai,Right hand Bat,Right arm Offbreak,Batter
PrabhsimranSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358040.png",Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
DawidMalan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323003.png",Punjab Kings,Left hand Bat,Legbreak,Top order Batter
IshantSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316602.png",Capitals,Right hand Bat,Right arm Fast medium,Bowler
RileyMeredith,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321600/321603.png",Punjab Kings,Right hand Bat,Right arm Fast,Bowler
JosButtler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316642.png",Royals,Right hand Bat,Not Available,Wicketkeeper Batter
JonnyBairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319794.png",Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter
VijayShankar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322613.png",Sunrisers,Right hand Bat,Right arm Medium,Allrounder
DhawalKulkarni,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316621.png",Mumbai,Right hand Bat,Right arm Medium,Bowler
LungiNgidi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322069.png",Super Kings,Right hand Bat,Right arm Fast medium,Bowler
RajatPatidar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c234983/rajat-patidar.jpg,RCB,Right hand Bat,Right arm Offbreak,Top order Batter
DanielSams,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321573.png",RCB,Right hand Bat,Left arm Fast medium,Allrounder
PatCummins,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316692.png",KKR,Right hand Bat,Right arm Fast,Bowler
JagadeeshaSuchith,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309109.png",Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
WashingtonSundar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322619.png",RCB,Left hand Bat,Right arm Offbreak,Bowling Allrounder
AmitMishra,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323053.png",Capitals,Right hand Bat,Legbreak,Bowler
ImranTahir,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316526.png",Super Kings,Right hand Bat,Legbreak Googly,Bowler
MananVohra,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356788.1.png",Royals,Right hand Bat,Right arm Medium,Opening Batter
KaneRichardson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321594.png",RCB,Right hand Bat,Right arm Fast medium,Bowler
KamleshNagarkoti,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339149.png",KKR,Right hand Bat,Right arm Fast,Bowler
MuruganAshwin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362592.1.png",Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
ChrisWoakes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316603.png",Capitals,Right hand Bat,Right arm Fast medium,Allrounder
LukmanMeriwala,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/7803.png,Capitals,Left hand Bat,Left arm Fast medium,Bowler
JalajSaxena,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/151600/151678.jpg",Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder
JhyeRichardson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321591.png",Punjab Kings,Right hand Bat,Right arm Fast,Bowler
HarbhajanSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319937.png",KKR,Right hand Bat,Right arm Offbreak,Bowler
ViratSingh,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/6966.png,Sunrisers,Left hand Bat,Legbreak Googly,Top order Batter
MujeebUrRahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320501.png",Sunrisers,Right hand Bat,Right arm Offbreak,Bowler
AjinkyaRahane,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316620.png",Capitals,Right hand Bat,Right arm Medium,Top order Batter
ShahbazNadeem,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322710.png",Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322699.png",Sunrisers,Left hand Bat,Left arm Medium,Bowler
MarcoJansen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337189.png",Mumbai,Right hand Bat,Left arm Medium fast,Bowling Allrounder
BenStokes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319748.png",Royals,Left hand Bat,Right arm Fast medium,Allrounder
ChrisLynn,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321566.png",Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter
ObedMcCoy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322031.png",Royals,Left hand Bat,Left arm Fast medium,Bowler
MatthewWade,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316594.png",Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter
YashDayal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357416.2.jpg",Titans,Right hand Bat,Left arm Medium fast,Bowler
SaiKishore,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362558.4.jpg",Titans,Left hand Bat,Slow Left arm Orthodox,Bowler
DushmanthaChameera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319800/319862.png",Super Giants,Right hand Bat,Right arm Fast,Bowler
MohsinKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359759.png",Super Giants,Left hand Bat,Left arm Medium fast,Bowler
AlzarriJoseph,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321900/321943.png",Titans,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322037.png",Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JiteshSharma,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
PrerakMankad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/998.png,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
FazalhaqFarooqi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345077.png",Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
MitchellMarsh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316612.png",Capitals,Right hand Bat,Right arm Medium,Allrounder
RovmanPowell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322172.png",Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
KuldeepYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319943.png",Capitals,Left hand Bat,Left arm Wrist spin,Bowler
DewaldBrevis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/335100/335134.png",Mumbai,Right hand Bat,Legbreak,Batting Allrounder
TilakVarma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314790.jpg",Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder
RamandeepSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357844.1.png",Mumbai,Right hand Bat,Right arm Medium,Middle order Batter
HrithikShokeen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359772.png",Mumbai,Right hand Bat,Right arm Offbreak,Bowler
DevonConway,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321214.png",Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
NarayanJagadeesan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339153.png",Super Kings,Right hand Bat,Not Available,Opening Batter
MitchellSantner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319792.png",Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
SimarjeetSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356835.1.png",Super Kings,Right hand Bat,Right arm Medium fast,Bowler
MukeshChoudhary,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356834.1.png",Super Kings,Left hand Bat,Left arm Medium,Bowler
MatheeshaPathirana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/355400/355402.png",Super Kings,Right hand Bat,Right arm Fast,Bowler
PrashantSolanki,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356836.1.png",Super Kings,Right hand Bat,Legbreak,Bowler
